"ID","DeviceID","TTL","TransmissionPower","TransmissionsNumber","IntervalTime","TTLResidue","Delay"
"501","3","2","1","1","5","0","3953392.00"
"502","2","2","1","1","5","2","4535836.00"
"503","1","2","1","1","5","1","4863684.00"
"504","2","2","1","1","5","2","5663263.00"
"505","3","2","1","1","5","1","5877859.00"
"506","1","2","1","1","5","1","5918201.00"
"507","2","2","1","1","5","2","5510056.00"
"508","1","2","1","1","5","1","5743734.00"
"509","2","2","1","1","5","2","5636866.00"
"510","1","2","1","1","5","2","5677998.00"
"511","3","2","1","1","5","1","5957057.00"
"512","1","2","1","1","5","2","6503247.00"
"513","2","2","1","1","5","0","6836493.00"
"514","3","2","1","1","5","1","6883634.00"
"515","1","2","1","1","5","2","6518860.00"
"516","2","2","1","1","5","2","6561153.00"
"517","3","2","1","1","5","1","6743609.00"
"518","2","2","1","1","5","2","6633245.00"
"519","1","2","1","1","5","2","6949650.00"
"520","3","2","1","1","5","0","7473526.00"
"521","1","2","1","1","5","2","6789770.00"
"522","2","2","1","1","5","2","6831139.00"
"523","2","2","1","1","5","2","6914974.00"
"524","1","2","1","1","5","1","7034886.00"
"525","1","2","1","1","5","2","7040847.00"
"526","2","2","1","1","5","2","7081310.00"
"527","3","2","1","1","5","1","7262439.00"
"528","1","2","1","1","5","2","14541034.00"
"529","2","2","1","1","5","2","14582355.00"
"530","3","2","1","1","5","1","14980820.00"
"531","2","2","1","1","5","2","5317050.00"
"532","1","2","1","1","5","2","5359027.00"
"533","3","2","1","1","5","1","5764323.00"
"534","2","2","1","1","5","2","4893420.00"
"535","1","2","1","1","5","2","4933796.00"
"536","3","2","1","1","5","1","5327556.00"
"537","2","2","1","1","5","2","5576500.00"
"538","1","2","1","1","5","2","5617611.00"
"539","3","2","1","1","5","1","6120332.00"
"540","1","2","1","1","5","2","5619085.00"
"541","2","2","1","1","5","2","5846209.00"
"542","3","2","1","1","5","1","6602914.00"
"543","2","2","1","1","5","2","5293891.00"
"544","3","2","1","1","5","0","5838380.00"
"545","2","2","1","1","5","2","5429076.00"
"546","1","2","1","1","5","2","5470137.00"
"547","1","2","1","1","5","2","6006705.00"
"548","2","2","1","1","5","1","6133890.00"
"549","3","2","1","1","5","1","6333666.00"
"550","2","2","1","1","5","2","6823402.00"
"551","2","2","1","1","5","2","6963455.00"
"552","3","2","1","1","5","1","7501190.00"
"553","2","2","1","1","5","2","7203784.00"
"554","1","2","1","1","5","2","7521464.00"
"555","2","2","1","1","5","2","7562611.00"
"556","3","2","1","1","5","1","7958198.00"
"557","1","2","1","1","5","2","6809595.00"
"558","2","2","1","1","5","2","6849599.00"
"559","3","2","1","1","5","1","7248426.00"
"560","2","2","1","1","5","2","6892649.00"
"561","3","2","1","1","5","1","7447709.00"
"562","2","2","1","3","1","2","11789766.00"
"563","1","2","1","3","1","2","11914015.00"
"564","3","2","1","3","1","1","12787809.00"
"565","2","2","1","3","1","2","1913249.00"
"566","3","2","1","3","1","1","2368351.00"
"567","1","2","1","3","1","1","2566156.00"
"568","1","2","1","3","1","2","3043497.00"
"569","3","2","1","3","1","1","3523870.00"
"570","1","2","1","3","1","2","4430515.00"
"571","2","2","1","3","1","2","4471485.00"
"572","3","2","1","3","1","1","4972058.00"
"573","2","2","1","3","1","2","5853569.00"
"574","1","2","1","3","1","1","5894634.00"
"575","3","2","1","3","1","1","6756708.00"
"576","1","2","1","3","1","1","8643756.00"
"577","2","2","1","3","1","2","9399703.00"
"578","3","2","1","3","1","1","9498373.00"
"579","1","2","1","3","1","2","10061071.00"
"580","2","2","1","3","1","2","10102309.00"
"581","3","2","1","3","1","1","10812832.00"
"582","2","2","1","3","1","2","11513521.00"
"583","1","2","1","3","1","2","11828791.00"
"584","3","2","1","3","1","1","12388455.00"
"585","2","2","1","3","1","2","14329871.00"
"586","1","2","1","3","1","1","14371109.00"
"587","3","2","1","3","1","1","15233712.00"
"588","2","2","1","3","1","2","15797173.00"
"589","3","2","1","3","1","2","16683900.00"
"590","2","2","1","3","1","2","17540278.00"
"591","1","2","1","3","1","2","17753066.00"
"592","3","2","1","3","1","1","18189507.00"
"593","2","2","1","3","1","2","21873282.00"
"594","1","2","1","3","1","1","21914638.00"
"595","3","2","1","3","1","1","22973907.00"
"596","2","2","1","3","1","2","13643234.00"
"597","1","2","1","3","1","2","13743311.00"
"598","3","2","1","3","1","1","14283827.00"
"599","1","2","1","3","1","2","14901995.00"
"600","2","2","1","3","1","2","14943143.00"
"601","3","2","1","3","1","1","15344417.00"
"602","1","2","1","3","1","2","15009665.00"
"603","2","2","1","3","1","2","15222114.00"
"604","3","2","1","3","1","1","15769760.00"
"605","2","2","1","3","1","2","14212544.00"
"606","1","2","1","3","1","1","14650021.00"
"607","3","2","1","3","1","0","14690480.00"
"608","2","2","1","3","1","2","14323049.00"
"609","1","2","1","3","1","1","14364287.00"
"610","2","2","1","3","1","2","15763301.00"
"611","1","2","1","3","1","1","15803938.00"
"612","3","2","1","3","1","0","17083747.00"
"613","2","2","1","3","1","2","16033537.00"
"614","1","2","1","3","1","2","16346477.00"
"615","3","2","1","3","1","1","16793630.00"
"616","2","2","1","3","1","2","17465743.00"
"617","1","2","1","3","1","1","17903627.00"
"618","3","2","1","3","1","0","18363405.00"
"619","2","2","1","3","1","2","17573539.00"
"620","1","2","1","3","1","2","17785170.00"
"621","3","2","1","3","1","1","18133613.00"
"622","2","2","1","3","1","2","12348737.00"
"623","1","2","1","3","1","1","12390310.00"
"624","3","2","1","3","1","1","12912234.00"
"625","1","2","1","3","1","2","12632024.00"
"626","2","2","1","3","1","2","12673266.00"
"627","3","2","1","3","1","1","13513339.00"
